grid,range_pct,recenter,return_pct,sharpe,mdd,trades,recenters
5,+-2%,5%,2.71,0.689,-3.12,42,1
5,+-3%,5%,1.75,0.513,-3.18,33,1
5,+-5%,5%,1.64,0.431,-3.6,21,1
10,+-2%,5%,1.0,0.325,-3.43,236,1
10,+-3%,5%,0.72,0.252,-3.74,147,1
10,+-5%,5%,-0.25,0.023,-4.1,89,1
5,+-8%,5%,-1.51,-0.218,-4.43,10,1
20,+-3%,5%,-1.56,-0.256,-4.03,531,1
20,+-5%,5%,-1.85,-0.293,-4.58,305,1
20,+-2%,5%,-2.02,-0.367,-4.08,694,1
10,+-8%,5%,-2.64,-0.4,-5.07,45,1
5,+-2%,3%,-3.33,-0.477,-8.18,56,4
20,+-8%,5%,-3.83,-0.581,-6.09,158,1
5,+-3%,3%,-4.66,-0.727,-7.86,46,4
10,+-2%,3%,-6.34,-0.913,-9.3,260,4
5,+-5%,3%,-7.17,-1.187,-9.85,27,4
10,+-3%,3%,-7.49,-1.107,-9.95,155,4
10,+-5%,3%,-9.65,-1.435,-11.26,108,4
20,+-2%,3%,-9.74,-1.401,-10.82,776,4
5,+-2%,2%,-9.77,-1.704,-12.31,83,12
5,+-8%,3%,-10.1,-1.511,-12.08,19,4
20,+-3%,3%,-10.29,-1.462,-11.58,537,4
5,+-3%,2%,-11.17,-2.128,-13.17,68,12
20,+-5%,3%,-11.83,-1.633,-13.17,345,4
10,+-8%,3%,-13.68,-1.764,-15.05,69,4
10,+-2%,2%,-14.81,-2.435,-15.79,326,12
20,+-8%,3%,-16.02,-1.969,-17.36,216,4
10,+-3%,2%,-17.15,-2.745,-18.32,221,12
5,+-5%,2%,-17.15,-2.835,-18.33,49,12
20,+-2%,2%,-18.43,-2.889,-19.2,883,12
20,+-3%,2%,-20.34,-3.106,-21.28,641,12
10,+-5%,2%,-22.95,-3.356,-24.13,149,12
5,+-8%,2%,-23.63,-3.407,-24.72,43,12
20,+-5%,2%,-25.74,-3.505,-26.74,448,12
10,+-8%,2%,-31.71,-3.742,-32.73,117,12
20,+-8%,2%,-35.27,-3.985,-36.22,320,12
